#tick=716507,surfaces=15,speed=1
kind,name,precision,sample,input,output
item,iron-ore,fifty_hours,19,2479,2371
item,copper-ore,ten_hours,1,87858,86926
item,copper-ore,ten_hours,2,87584,87013
item,copper-ore,ten_hours,3,87133,87007
item,copper-ore,ten_hours,4,86971,87280
item,copper-ore,ten_hours,5,87545,87335
item,copper-ore,ten_hours,6,87684,87160
item,copper-ore,ten_hours,7,88174,87499
item,copper-ore,ten_hours,8,87722,87533
item,copper-ore,ten_hours,9,89205,87702
item,copper-ore,ten_hours,10,91254,88219
item,copper-ore,ten_hours,11,92210,88508
item,copper-ore,ten_hours,12,93277,89086
item,copper-ore,ten_hours,13,95327,90545
item,copper-ore,ten_hours,14,94326,92965
item,copper-ore,ten_hours,15,95366,94363
item,copper-ore,ten_hours,16,95394,94416
item,copper-ore,ten_hours,17,95939,94411
item,copper-ore,ten_hours,18,96441,95244
item,copper-ore,ten_hours,19,96453,96035
item,copper-ore,ten_hours,20,97182,96238
item,copper-ore,ten_hours,21,97465,96970
item,copper-ore,ten_hours,22,97141,96787
item,copper-ore,ten_hours,23,97314,96425
item,copper-ore,ten_hours,24,97861,96919
item,copper-ore,ten_hours,25,98601,97467
item,copper-ore,ten_hours,26,98848,97495
item,copper-ore,ten_hours,27,99343,97568
item,copper-ore,ten_hours,28,99503,98049
item,copper-ore,ten_hours,29,100019,98841
item,copper-ore,ten_hours,30,100703,99275
item,copper-ore,ten_hours,31,100438,99323
item,copper-ore,ten_hours,32,100165,98620
item,copper-ore,ten_hours,33,100294,99304
item,copper-ore,ten_hours,34,100477,99969
item,copper-ore,ten_hours,35,101366,100413
item,copper-ore,ten_hours,36,101214,100923
item,copper-ore,ten_hours,37,101110,100319
item,copper-ore,ten_hours,38,101428,99814
item,copper-ore,ten_hours,39,102339,99621
item,copper-ore,ten_hours,40,104048,99136
item,copper-ore,ten_hours,41,104545,98924
item,copper-ore,ten_hours,42,104788,94180
item,copper-ore,ten_hours,43,104364,84879
item,copper-ore,ten_hours,44,103738,76612
item,copper-ore,ten_hours,45,105003,67386
item,copper-ore,ten_hours,46,88987,65662
item,copper-ore,ten_hours,47,82096,55524
item,copper-ore,ten_hours,48,67678,49584
item,copper-ore,ten_hours,49,62498,46302
item,copper-ore,ten_hours,50,50670,45988
item,copper-ore,ten_hours,51,50751,44810
item,copper-ore,ten_hours,52,50630,33301
item,copper-ore,ten_hours,53,51432,24360
item,copper-ore,ten_hours,54,38266,14814
item,copper-ore,ten_hours,55,17639,14276
item,copper-ore,ten_hours,56,14389,14190
item,copper-ore,ten_hours,57,14907,14577
item,copper-ore,ten_hours,58,14712,14706
item,copper-ore,ten_hours,59,14707,14700
item,copper-ore,ten_hours,60,14736,12978
item,copper-ore,ten_hours,61,14278,7832
item,copper-ore,ten_hours,62,9203,7472
item,copper-ore,ten_hours,63,7369,7351
item,copper-ore,ten_hours,64,7627,7380
item,copper-ore,ten_hours,65,7630,7446
item,copper-ore,ten_hours,66,7500,4780
item,copper-ore,ten_hours,67,5692,4171
item,copper-ore,ten_hours,68,4066,4311
item,copper-ore,ten_hours,69,3892,3903
item,copper-ore,ten_hours,70,3879,3838
item,copper-ore,ten_hours,71,3905,3898
item,copper-ore,ten_hours,72,3909,3909
item,copper-ore,ten_hours,73,3909,3904
item,copper-ore,ten_hours,74,3909,3908
item,copper-ore,ten_hours,75,3908,3897
item,copper-ore,ten_hours,76,3562,2306
item,copper-ore,ten_hours,77,2108,2107
item,copper-ore,ten_hours,78,2109,2109
item,copper-ore,ten_hours,79,1821,1907
item,copper-ore,ten_hours,80,1293,1261
item,copper-ore,ten_hours,81,2262,1928
item,copper-ore,ten_hours,82,2438,2111
item,copper-ore,ten_hours,83,2439,2217
item,copper-ore,ten_hours,84,2438,2441
item,copper-ore,ten_hours,85,2382,2393
item,copper-ore,ten_hours,86,2364,1058
item,copper-ore,ten_hours,87,1259,670
item,copper-ore,ten_hours,88,667,665
item,copper-ore,ten_hours,89,667,670
item,copper-ore,ten_hours,90,671,665
item,copper-ore,ten_hours,91,656,629
item,copper-ore,ten_hours,92,330,330
item,copper-ore,ten_hours,93,330,330
item,copper-ore,ten_hours,94,330,341
item,copper-ore,ten_hours,95,303,293
item,copper-ore,ten_hours,96,330,330
item,copper-ore,ten_hours,97,95,94
item,copper-ore,fifty_hours,1,440330,437229
item,copper-ore,fifty_hours,2,466394,449323
item,copper-ore,fifty_hours,3,479593,474469
item,copper-ore,fifty_hours,4,486963,483339
item,copper-ore,fifty_hours,5,496314,489420
item,copper-ore,fifty_hours,6,502077,496491
item,copper-ore,fifty_hours,7,507457,501090
item,copper-ore,fifty_hours,8,521483,453731
item,copper-ore,fifty_hours,9,406262,284458
item,copper-ore,fifty_hours,10,241749,163273
item,copper-ore,fifty_hours,11,76354,72449
item,copper-ore,fifty_hours,12,53213,43013
item,copper-ore,fifty_hours,13,28780,24611
item,copper-ore,fifty_hours,14,19511,19457
item,copper-ore,fifty_hours,15,13508,12326
item,copper-ore,fifty_hours,16,10870,9958
item,copper-ore,fifty_hours,17,7339,5456
item,copper-ore,fifty_hours,18,2317,2295
item,copper-ore,fifty_hours,19,728,717
item,coal,ten_hours,1,13878,13886
item,coal,ten_hours,2,14174,13814
item,coal,ten_hours,3,14410,14007
item,coal,ten_hours,4,14651,14390
item,coal,ten_hours,5,14222,14181
